Equipo,VL,DL,EL,VV,DV,EV,FAL_i,FAL_BP,FDL_i,FDL_BP,FAV_i,FAV_BP,FDV_i,FDV_BP
La Coruna,4,9,6,2,12,5,-0.2021758839528558,0.5829592105652236,0.5566037735849059,-0.05977202064508908,-0.2452830188679244,0.3193657246069422,0.5593834995466909,0.10587083549169699
Malaga,4,12,3,1,16,2,-0.4922937443336355,0.11115916912258338,0.2735849056603774,-0.2754736210443399,-0.5283018867924528,-0.16626426482016343,0.2330009066183138,-0.1462530452685125
Las Palmas,4,13,2,1,13,5,-0.456029011786038,0.18432274774952287,0.7924528301886793,0.0644672633400227,-0.5754716981132075,-0.24528793705687324,0.3055303717135087,-0.08707754753457093
Rayo Vallecano,5,8,6,3,14,2,-0.0933816863100633,0.7486882462491792,0.509433962264151,-0.12698937420275228,-0.2452830188679244,0.35997672182310403,0.3780598368087036,-0.03461108130970801
Girona,11,18,9,12,16,10,-0.2203082502266545,0.5456595494037305,0.179245283018868,-0.33311149222956626,0.0377358490566039,0.5323957343926063,0.1242067089755214,-0.4846667022124337
Mallorca,8,8,3,1,15,3,-0.0933816863100633,0.7291552729399172,0.0377358490566039,-0.5206855488906431,-0.2924528301886792,0.30008636589436166,0.5593834995466909,0.07050804626159173
Leganes,21,19,17,10,33,14,-0.3351465699607131,0.16787541321674584,-0.0408805031446539,-0.46763643406519445,-0.2767295597484276,0.22031300355755337,0.015412511332729,-0.549401579629689
Espanol,21,21,15,10,28,19,-0.2384406165004532,0.4591685785507814,0.0849056603773585,-0.13444997311369622,-0.2452830188679244,0.2847065220758847,-0.0208522212148685,-0.44284790549637576
Villarreal,33,21,22,28,30,18,0.1695376246600182,0.7789341994443181,0.1320754716981131,-0.43970266057140206,0.179245283018868,0.947849089777903,-0.1024478694469628,-0.5855287565947361
Valencia,39,10,27,22,34,20,0.115140525838622,0.9485064121722765,-0.2099056603773584,-0.6049172431183604,0.0495283018867924,0.43142247688274665,0.015412511332729,-0.16072777064937416
Sociedad,35,22,19,25,33,18,0.242067089755213,0.9301975524161894,0.0613207547169811,-0.4835432404159786,0.0495283018867924,0.7505479269772969,-0.084315503173164,-0.6878128523095899
Getafe,34,23,19,19,29,28,-0.1477787851314596,0.4809221278955228,-0.3042452830188679,-1.0942383172009789,-0.2099056603773584,0.3016848272551654,-0.1931097008159564,-0.4081318867969066
Barcelona,58,5,13,45,12,19,0.8132366273798732,1.2285278600816172,-0.2452830188679244,-0.6025909162114805,0.8867924528301887,1.2465246577275408,-0.3019038984587489,-0.6706502425670712
Ath Madrid,54,4,18,35,15,26,0.1876699909338168,1.0369178663278404,-0.5283018867924528,-1.3641928943528658,0.179245283018868,0.7825949287504674,-0.4288304623753399,-1.1070682220599866
Ath Bilbao,32,18,26,15,35,26,-0.1387126019945602,0.8064795402434507,-0.1981132075471697,-0.5307721650022872,-0.1273584905660376,0.43381821690623074,-0.0389845874886672,-0.45504153943565034
Alaves,29,26,21,18,46,12,-0.2656391659111513,0.45203783738108844,0.0141509433962263,-0.5283712643779697,-0.1981132075471697,0.5053484872377666,0.1786038077969176,-0.3008692593327664
Betis,37,21,18,22,37,17,0.0970081595648233,0.8074608755951865,0.2382075471698113,-0.4895847639786986,-0.0448113207547168,0.6050108412336312,0.0698096101541252,-0.425313472115489
Cadiz,5,9,5,6,7,6,-0.3834995466908431,0.3182854687759904,0.4150943396226416,-0.218345508179472,-0.1037735849056603,0.5630941195370885,0.015412511332729,-0.35895420311350323
Levante,27,22,27,18,40,18,0.0244786944696284,0.7859415883225213,0.3089622641509435,-0.22008588530367282,-0.0212264150943396,0.5843581694875096,0.115140525838622,-0.36891102635840867
Valladolid,13,22,22,11,26,20,-0.3593230583257781,0.5021561238685284,0.1163522012578617,-0.27229306467662073,-0.2924528301886792,0.41305735711182057,-0.032940465397401,-0.5141749113497018
Celta,30,22,24,14,38,24,0.0607434270172257,0.7729320682798797,0.1556603773584906,-0.20767241803198155,0.025943396226415,0.8645272383568007,0.1786038077969176,-0.10300259357345774
Eibar,27,29,20,15,37,24,-0.1477787851314596,0.09500688951024043,0.0141509433962263,-0.5647695955007913,-0.2452830188679244,0.5041435825551577,0.1060743427017227,-0.30976128872568365
Elche,5,6,8,3,12,4,-0.3472348141432456,0.38367044401808914,0.0849056603773585,-0.4923417553828562,-0.2452830188679244,0.3733157913326921,0.1604714415231187,-0.2229853405476521
Huesca,10,15,13,4,22,12,-0.256572982774252,0.2785762055434552,0.2028301886792454,-0.5118252678699908,-0.150943396226415,0.3479206441598061,0.2148685403445149,-0.3184310310051292
Osasuna,14,12,12,10,16,12,-0.1477787851314596,0.5699270094454171,0.2264150943396228,-0.46149910789323273,-0.150943396226415,0.5636691625558466,-0.0933816863100633,-0.42910282431917773
Real Madrid,53,11,12,41,14,21,0.4415231187669992,1.0765931931184731,-0.3042452830188679,-0.946671859377869,0.591981132075472,1.018411854789586,-0.2384406165004532,-0.8936029010366966
Sevilla,47,13,16,30,29,17,0.115140525838622,0.8216100698847391,-0.2099056603773584,-1.2833027979979141,0.1202830188679247,0.809223101917482,-0.0480507706255666,-0.7320620176365001
Granada,19,12,7,10,20,8,-0.0752493200362647,0.6978750535751973,-0.0330188679245282,-0.45406219217521987,0.1320754716981131,0.7243455053006741,0.2511332728921125,-0.07729663964591028
